query,занятость,по должности-лемме,по дополнительному признаку,по условиям,общие фразы
гейм дизайнер вакансии,NaN,дизайнер,NaN,NaN,0
геодезист камеральщик вакансии,NaN,геодезист,NaN,NaN,0
главный геодезист вакансии,NaN,геодезист,NaN,NaN,0
главный электрик вакансии,NaN,электрик,NaN,NaN,0
гостиница для животных вакансии,NaN,NaN,NaN,NaN,1
графический дизайнер вакансии удаленной работы,['удаленная'],дизайнер,NaN,NaN,0
графический дизайнер подработка,['подработка'],дизайнер,NaN,NaN,0
гример в морге вакансии,NaN,гример,NaN,NaN,0
грузчик в магазин вакансии,NaN,грузчик,NaN,NaN,0
грузчик в мебельный магазин вакансии,NaN,грузчик,NaN,NaN,0
грузчик вечерняя подработка,"['вечерняя', 'подработка']",грузчик,NaN,NaN,0
грузчик на выходные вакансии,['по выходным'],грузчик,NaN,NaN,0
грузчик на постоянную работу,NaN,грузчик,NaN,NaN,0
грузчик разнорабочий вакансии,NaN,грузчик,NaN,NaN,0
грузчик разовая работа,NaN,грузчик,NaN,NaN,0
грузчик сборщик вакансии,NaN,грузчик,NaN,NaN,0
дворник вакансии вечер,NaN,дворник,NaN,NaN,0
дежурный электрик вакансии,NaN,электрик,NaN,NaN,0
деливери клаб стать курьером,NaN,курьер,NaN,NaN,0
дерматовенеролог косметолог вакансии,NaN,косметолог,NaN,NaN,0
дизайнер интерьера удаленно вакансии,['удаленная'],дизайнер,NaN,NaN,0
дизайнер фрилансер вакансии,NaN,дизайнер,NaN,NaN,0
директор по маркетингу вакансии,NaN,директор,NaN,NaN,0
домработница без посредников,NaN,"домработница, домработник",NaN,NaN,0
домработница на выходные,['по выходным'],"домработница, домработник",NaN,NaN,0
доставка автокурьером,NaN,NaN,NaN,NaN,1
доставка воды вакансии,NaN,NaN,NaN,NaN,1
доставка цветов курьером,NaN,курьер,NaN,NaN,0
женский парикмахер вакансии,NaN,парикмахер,NaN,NaN,0
замерщик дверей вакансии,NaN,замерщик,NaN,NaN,0
изолировщик вакансии россии,NaN,изолировщик,NaN,NaN,0
изолировщик вахта свежие вакансии,['вахта'],изолировщик,NaN,NaN,0
инженер проектировщик систем электроснабжения вакансии,NaN,инженер,NaN,NaN,0
инженер проектировщик слаботочных систем вакансии,NaN,инженер,NaN,NaN,0
инженер проектировщик тепловые сети вакансии,NaN,инженер,NaN,NaN,0
инженер проектировщик электроснабжения вакансии,NaN,инженер,NaN,NaN,0
инженер сварщик вакансии,NaN,инженер,NaN,NaN,0
инженер строительного контроля и технического надзора вакансии,NaN,инженер,NaN,NaN,0
инженер электрик вакансии от прямых работодателей,NaN,инженер,NaN,NaN,0
инструктор лфк вакансии без опыта,NaN,инструктор,['без опыта'],NaN,0
инструктор по грудничковому плаванию вакансии,NaN,инструктор,NaN,NaN,0
инструктор по пилатесу вакансии,NaN,инструктор,NaN,NaN,0
инструктор по плаванию вакансии,NaN,инструктор,NaN,NaN,0
интернет маркетолог вакансии удаленно,['удаленная'],маркетолог,NaN,NaN,0
ит специалист вакансии,NaN,специалист ахо,NaN,NaN,0
ищу вакансию сварщика,NaN,сварщик,NaN,NaN,0
ищу водителя экспедитора вакансии,NaN,водитель,NaN,NaN,0
ищу подработку на вечернее время,"['подработка', 'вечерняя']",NaN,NaN,NaN,0
ищу подработку электрика,['подработка'],автоэлектрик,NaN,NaN,0
ищу работа сварщик слесарь,NaN,сварщик,NaN,NaN,0
ищу работу грузчиком в магазин,NaN,грузчик,NaN,NaN,0
ищу работу дворником,NaN,дворник,NaN,NaN,0
ищу работу дежурный электрик,NaN,электрик,NaN,NaN,0
ищу работу корректора текстов на дому,['на дому'],NaN,NaN,NaN,0
ищу работу кровельщика по мягкой кровле,NaN,кровельщик,NaN,NaN,0
ищу работу ландшафтный дизайн,NaN,дизайнер,NaN,NaN,0
ищу работу маляра по металлу,NaN,маляр,NaN,NaN,0
ищу работу маркетолога,NaN,маркетолог,NaN,NaN,0
ищу работу на своей машине,NaN,NaN,NaN,NaN,1
ищу работу отделочника без посредников от хозяина,NaN,отделочник,NaN,NaN,0
ищу работу отделочника от частных лиц,NaN,отделочник,NaN,NaN,0
ищу работу отделочника универсала,NaN,отделочник,NaN,NaN,0
ищу работу парикмахером без опыта,NaN,парикмахер,['без опыта'],NaN,0
ищу работу персональным водителем 173,NaN,водитель,NaN,NaN,0
ищу работу садовника с проживанием,NaN,садовник,NaN,с проживанием,0
ищу работу сварщика 4 разряд,NaN,сварщик,NaN,NaN,0
ищу работу слесарь инструментальщик,NaN,слесарь,NaN,NaN,0
ищу работу слесаря по ремонту автомобилей,NaN,слесарь,NaN,NaN,0
ищу работу столяром плотником,NaN,столяр,NaN,NaN,0
ищу работу тренером по теннису,NaN,тренер,NaN,NaN,0
ищу работу электромонтера,NaN,электромонтер,NaN,NaN,0
ищу работу юрист без опыта работы,NaN,юрист,['без опыта'],NaN,0
кадастровый инженер удаленная работа,['удаленная'],инженер,NaN,NaN,0
кассир в ржд кассы вакансии,NaN,кассир,NaN,NaN,0
квартирные переезды работа грузчиком,NaN,грузчик,NaN,NaN,0
квартирный переезд вакансии грузчиков,NaN,грузчик,NaN,NaN,0
кинолог метро вакансии,NaN,кинолог,NaN,NaN,0
коллектор вакансии,NaN,специалист по взысканию задолженности / коллектор,NaN,NaN,0
колорист парикмахер вакансия,NaN,колорист,NaN,NaN,0
комплектовщик вакансии прямой работодатель вахта,['вахта'],комплектовщик,NaN,NaN,0
консультант в банке вакансии,NaN,консультант,NaN,NaN,0
копирайтер без опыта вакансии,NaN,копирайтер,['без опыта'],NaN,0
копирайтинг вакансии,NaN,копирайтер,NaN,NaN,0
корпоративный юрист вакансии,NaN,юрист,NaN,NaN,0
кровельщик по мягкой кровле вакансии,NaN,кровельщик,NaN,NaN,0
кровельщик рулонной кровли вакансии,NaN,кровельщик,NaN,NaN,0
кузнец россии вакансии,NaN,кузнец,NaN,NaN,0
курьер авто,NaN,курьер,NaN,NaN,0
курьер в комсомольском,NaN,курьер,NaN,NaN,0
курьер в песчаных ковалях,NaN,курьер,NaN,NaN,0
курьер в правый берег,NaN,курьер,NaN,NaN,0
курьер косметики для магазинов,NaN,курьер,NaN,NaN,0
курьер на авто вакансии подработка,['подработка'],курьер,NaN,NaN,0
курьер на личном авто с ежедневной,NaN,курьер,NaN,с ежедневной оплатой,0
курьер озон вакансии,NaN,курьер,NaN,NaN,0
курьер работа свежие вакансии,NaN,курьер,NaN,NaN,0
лендинг вакансии,NaN,NaN,NaN,NaN,1
личный водитель вакансии,NaN,водитель,NaN,NaN,0
маляр без опыта вакансии,NaN,маляр,['без опыта'],NaN,0
маляр пескоструйщик свежие вакансии,NaN,маляр,NaN,NaN,0
маляр по металлу вакансии вахта,['вахта'],маляр,NaN,NaN,0
мануальная терапия вакансии,NaN,NaN,NaN,NaN,1
массажист без образования вакансии,NaN,массажист,NaN,NaN,0
массажист в салон красоты вакансии,NaN,массажист,NaN,NaN,0
мастер депиляции без опыта вакансии,NaN,NaN,['без опыта'],NaN,0
мастер монолитных работ,NaN,NaN,NaN,NaN,1
мастер по металлообработке,NaN,NaN,NaN,NaN,1
мастер по ремонту телефонов с обучением вакансии,NaN,NaN,NaN,NaN,1
медсестра косметолог вакансии,NaN,"медсестра, медбрат",NaN,NaN,0
медсестра массажист вакансии,NaN,"медсестра, медбрат",NaN,NaN,0
министерство обороны вакансии по контракту,NaN,NaN,NaN,NaN,1
мойка авто работа,NaN,мойщик,NaN,NaN,0
монтаж технологических трубопроводов работа,NaN,монтажник,NaN,NaN,0
монтажник ворот вакансии,NaN,монтажник,NaN,NaN,0
монтажник межкомнатных дверей вакансии,NaN,монтажник,NaN,NaN,0
монтажник отопление водоснабжение вакансии,NaN,монтажник,NaN,NaN,0
монтажник потолков вакансии,NaN,монтажник,NaN,NaN,0
найти подработку на вечернее время,"['подработка', 'вечерняя']",NaN,NaN,NaN,0
найти работу вахтой,['вахта'],вахтер,NaN,NaN,0
найти работу грузчиком экспедитором,NaN,грузчик,NaN,NaN,0
найти работу инструктора лфк,NaN,инструктор,NaN,NaN,0
найти работу коллектора,NaN,специалист по взысканию задолженности / коллектор,NaN,NaN,0
найти работу мастер маникюра,NaN,NaN,NaN,NaN,1
найти работу токаря,NaN,токарь,NaN,NaN,0
написание статей вакансии,NaN,NaN,NaN,NaN,1
написание статей на заказ вакансии,NaN,NaN,NaN,NaN,1
написание статей на заказ работа,NaN,NaN,NaN,NaN,1
натяжные потолки вакансии,NaN,NaN,NaN,NaN,1
начинающий юрист вакансии,NaN,юрист,NaN,NaN,0
ночной курьер автомобилем,['ночная'],курьер,NaN,NaN,0
ночные подработки грузчиком,"['ночная', 'подработка']",грузчик,NaN,NaN,0
нужен семейный водитель,NaN,водитель,NaN,NaN,0
нужна работа разнорабочим,NaN,рабочий,NaN,NaN,0
нужна работа сантехника,NaN,сантехник,NaN,NaN,0
объявление вакансии водитель,NaN,водитель,NaN,NaN,0
объявление ищу работу сварщик,NaN,сварщик,NaN,NaN,0
объявление о работе парикмахера,NaN,парикмахер,NaN,NaN,0
озон вакансии водитель курьер на авто компании,NaN,водитель,NaN,NaN,0
озон вакансии кладовщик,NaN,кладовщик,NaN,NaN,0
озон вакансии на сегодня,NaN,NaN,NaN,NaN,1
озон вакансии от работодателя,NaN,NaN,NaN,NaN,1
озон водитель курьер,NaN,водитель,NaN,NaN,0
озон интернет магазин вакансии спб,NaN,NaN,NaN,NaN,1
озон интернет магазин работа вакансии,NaN,NaN,NaN,NaN,1
озон работа в пункте выдачи вакансии москва,NaN,NaN,NaN,NaN,1
озон работа вакансии,NaN,NaN,NaN,NaN,1
озон работа водителем со своим,NaN,водитель,NaN,NaN,0
озон работа для женщин,NaN,NaN,['для женщин'],NaN,0
озон работа курьером,NaN,курьер,NaN,NaN,0
озон работа телефон,NaN,NaN,NaN,NaN,1
озон удаленная работа,['удаленная'],NaN,NaN,NaN,0
озон экспресс вакансии водитель курьер отзывы,NaN,водитель,NaN,NaN,0
оператор ozon работа,NaN,модератор,NaN,NaN,0
оператор на дому вакансии,['на дому'],модератор,NaN,NaN,0
отдел ржд вакансии,NaN,NaN,NaN,NaN,1
отделочники внутренних работ,NaN,отделочник,NaN,NaN,0
охрана вахта дачи,['вахта'],вахтер,NaN,NaN,0
охранник с проживанием и питанием,NaN,охранник,NaN,с проживанием,0
охранник сторож от работодателя,NaN,охранник,NaN,NaN,0
парикмахер в салон вакансии,NaN,парикмахер,NaN,NaN,0
педикюру вакансии,NaN,NaN,NaN,NaN,1
пекарня работа,NaN,пекарь,NaN,NaN,0
первый бит вакансии,NaN,NaN,NaN,NaN,1
перетяжка мебели вакансии,NaN,NaN,NaN,NaN,1
персональный водитель вакансии от работодателей,NaN,водитель,NaN,NaN,0
пиленга вакансии,NaN,NaN,NaN,NaN,1
плиточники облицовщики вакансии,NaN,плиточник,NaN,NaN,0
погрузочные работы,NaN,NaN,NaN,NaN,1
подработка верстальщик,['подработка'],NaN,NaN,NaN,0
подработка вязанием на дому вакансии,"['подработка', 'на дому']",NaN,NaN,NaN,0
подработка грузчиком ежедневные выплаты,['подработка'],грузчик,NaN,с ежедневной оплатой,0
подработка грузчиком на выходные,"['подработка', 'по выходным']",грузчик,NaN,NaN,0
подработка дворником в москве свободный график работы,['подработка'],дворник,NaN,NaN,0
подработка для маркетолога,['подработка'],маркетолог,NaN,NaN,0
подработка для юриста на дому,"['подработка', 'на дому']",юрист,NaN,NaN,0
подработка для юристов удаленно,"['подработка', 'удаленная']",юрист,NaN,NaN,0
подработка курьер на личном авто свободный график,['подработка'],курьер,NaN,NaN,0
подработка логистом,['подработка'],логист,NaN,NaN,0
подработка маляром с ежедневной оплатой,['подработка'],маляр,NaN,с ежедневной оплатой,0
подработка маникюром в выходные,"['подработка', 'по выходным']",NaN,NaN,NaN,0
подработка на выходные грузчиком с ежедневной оплатой,"['подработка', 'по выходным']",грузчик,NaN,с ежедневной оплатой,0
подработка на своем авто легковом в свободное время,['подработка'],NaN,NaN,NaN,0
подработка на своем легковом автомобиле,['подработка'],NaN,NaN,NaN,0
подработка печатником офсетной печати,['подработка'],печатник,NaN,NaN,0
подработка помощник фотографа,['подработка'],помощник,NaN,NaN,0
подработка сметчиком на дому,"['подработка', 'на дому']",сметчик,NaN,NaN,0
подработка составление договоров,['подработка'],NaN,NaN,NaN,0
подработка утром уборщица,['подработка'],"уборщик, горничная",NaN,NaN,0
подработка штукатур маляр,['подработка'],штукатур,NaN,NaN,0
поиск работы от прямых работодателей,NaN,NaN,NaN,NaN,1
поиск сварщиков на работу,NaN,сварщик,NaN,NaN,0
помощник аудитора без опыта вакансии,NaN,помощник,['без опыта'],NaN,0
помощник бизнес тренера вакансии,NaN,помощник,NaN,NaN,0
помощник бурильщика вакансии от прямых работодателей,NaN,помощник,NaN,NaN,0
помощник бурильщика вакансии от работодателя,NaN,помощник,NaN,NaN,0
помощник дизайнера интерьера вакансии без опыта,NaN,помощник,['без опыта'],NaN,0
помощник плиточника вакансии,NaN,помощник,NaN,NaN,0
помощник плотника вакансии,NaN,помощник,NaN,NaN,0
помощник сметчика вакансии без опыта,NaN,помощник,['без опыта'],NaN,0
помощник специалиста по контекстной рекламе вакансии,NaN,помощник,NaN,NaN,0
помощник столяра вакансии,NaN,помощник,NaN,NaN,0
помощник фотографа вакансии,NaN,помощник,NaN,NaN,0
преподаватель по плаванию вакансии,NaN,преподаватель,NaN,NaN,0
приглашаем на работу,NaN,NaN,NaN,NaN,1
программист autocad вакансии,NaN,программист,NaN,NaN,0
программист java вакансии без опыта,NaN,программист,['без опыта'],NaN,0
программист игр вакансии,NaN,программист,NaN,NaN,0
проектировщик зданий вакансии,NaN,проектировщик,NaN,NaN,0
прямой поиск работы,NaN,NaN,NaN,NaN,1
прямые вакансии охранника,NaN,охранник,NaN,NaN,0
пункт отбора на военную службу по контракту вакансии,NaN,NaN,NaN,NaN,1
работа 55,NaN,NaN,NaN,NaN,1
работа администратором отзывы,NaN,администратор,NaN,NaN,0
работа айти специалист вакансии,NaN,специалист ахо,NaN,NaN,0
работа бариста,NaN,артист,NaN,NaN,0
работа бариста без опыта,NaN,артист,['без опыта'],NaN,0
работа бизнес тренером,NaN,тренер,NaN,NaN,0
работа бурильщиком с обучением,NaN,бурильщик,NaN,NaN,0
работа бухгалтером вакансии от прямых работодателей,NaN,бухгалтер,NaN,NaN,0
работа в ozon вакансии,NaN,NaN,NaN,NaN,1
работа в аэропорту разнорабочий,NaN,рабочий,NaN,NaN,0
работа в гостиницах для животных вакансии,NaN,NaN,NaN,NaN,1
работа в колл центре,NaN,NaN,NaN,NaN,1
работа в озон на своем автомобиле отзывы,NaN,NaN,NaN,NaN,1
работа в озоне москва вакансии водитель,NaN,водитель,NaN,NaN,0
работа в приюте для животных вакансии,NaN,NaN,NaN,NaN,1
работа в пункте выдачи ozon,NaN,NaN,NaN,NaN,1
работа в сфере маркетинга,NaN,NaN,NaN,NaN,1
работа в сфере футбола вакансии,NaN,NaN,NaN,NaN,1
работа в тату салоне вакансии,NaN,NaN,NaN,NaN,1
работа в транспортной безопасности,NaN,NaN,NaN,NaN,1
работа в эйвон,NaN,NaN,NaN,NaN,1
работа вакансия плиточник,NaN,плиточник,NaN,NaN,0
работа вакансия плотник,NaN,плотник,NaN,NaN,0
работа вахта грузчиком от прямых работодателей,['вахта'],вахтер,NaN,NaN,0
работа вахта парикмахер,['вахта'],вахтер,NaN,NaN,0
работа вахта с проживанием разнорабочим,['вахта'],вахтер,NaN,с проживанием,0
работа вахтой комплектовщик,['вахта'],вахтер,NaN,NaN,0
работа вахтой маляр по металлу,['вахта'],вахтер,NaN,NaN,0
работа вахтой отделочник,['вахта'],вахтер,NaN,NaN,0
работа вахтой системный администратор,['вахта'],вахтер,NaN,NaN,0
работа вахтой штукатур маляр,['вахта'],вахтер,NaN,NaN,0
работа ветврачом в россии вакансии,NaN,NaN,NaN,NaN,1
работа водителем в озон в москве,NaN,водитель,NaN,NaN,0
работа водителем в организации,NaN,водитель,NaN,NaN,0
работа водителем категории всд,NaN,водитель,NaN,NaN,0
работа водителем компания озон,NaN,водитель,NaN,NaN,0
работа водителем на своей машине легковой,NaN,водитель,NaN,NaN,0
работа водитель ассенизатора,NaN,водитель,NaN,NaN,0
работа водитель категории в прямой работодатель,NaN,водитель,NaN,NaN,0
работа водитель категория ce,NaN,водитель,NaN,NaN,0
работа водитель категория д город,NaN,водитель,NaN,NaN,0
работа водитель межгород категория b,NaN,водитель,NaN,NaN,0
работа водитель самосвалы область,NaN,водитель,NaN,NaN,0
работа вывоз мусора вакансии,NaN,NaN,NaN,NaN,1
работа вышивальщицей,NaN,NaN,NaN,NaN,1
работа вышивальщицы бисером на дому,['на дому'],NaN,NaN,NaN,0
работа главный сварщик,NaN,сварщик,NaN,NaN,0
работа гримером,NaN,гример,NaN,NaN,0
работа грузовой шиномонтаж,NaN,шиномонтажник,NaN,NaN,0
работа грузчик на переезды с ежедневной оплатой,NaN,грузчик,NaN,с ежедневной оплатой,0
работа грузчик неполный день,"['на неполный день', 'на неполный день']",грузчик,NaN,NaN,0
работа грузчик сторож,NaN,грузчик,NaN,NaN,0
работа грузчиком в ночь,NaN,грузчик,NaN,NaN,0
работа грузчиком на выходные,['по выходным'],грузчик,NaN,NaN,0
работа грузчиком от прямых работодателей,NaN,грузчик,NaN,NaN,0
работа грузчиком от прямых работодателей свежие вакансии,NaN,грузчик,NaN,NaN,0
работа грузчиком почасовая оплата,NaN,грузчик,NaN,с ежедневной оплатой,0
работа грузчиком разнорабочим,NaN,грузчик,NaN,NaN,0
работа дворник вахтой,['вахта'],дворник,NaN,NaN,0
работа дворником дом,NaN,дворник,NaN,NaN,0
работа дворником неполный рабочий,['на неполный день'],дворник,NaN,NaN,0
работа дворником неполный рабочий день,"['на неполный день', 'на неполный день']",дворник,NaN,NaN,0
работа девушкам,NaN,NaN,NaN,NaN,1
работа депиляция воском,NaN,NaN,NaN,NaN,1
работа дизайнер интерьера удаленно вакансии,['удаленная'],дизайнер,NaN,NaN,0
работа дизайнером фриланс,NaN,дизайнер,NaN,NaN,0
работа диспетчер логист на дому,['на дому'],диспетчер,NaN,NaN,0
работа для детей 12 лет расклейка объявлений,NaN,NaN,NaN,NaN,1
работа для скульптора,NaN,скульптор,NaN,NaN,0
работа дорожным рабочим вахтовым,NaN,рабочий,NaN,NaN,0
работа ежедневные выплаты для девушек,NaN,NaN,NaN,с ежедневной оплатой,0
работа ежедневный расчет,NaN,NaN,NaN,с ежедневной оплатой,0
работа женский парикмахер,NaN,парикмахер,NaN,NaN,0
работа земельным юристом,NaN,юрист,NaN,NaN,0
работа инженер проектировщик слаботочных систем,NaN,инженер,NaN,NaN,0
работа инженер электрик вахта,['вахта'],инженер,NaN,NaN,0
работа инструктор по стрельбе,NaN,инструктор,NaN,NaN,0
работа испанский язык,NaN,NaN,NaN,NaN,1
работа ищу инструктор лфк,NaN,инструктор,NaN,NaN,0
работа кладовщиком в брюховецкой,NaN,кладовщик,NaN,NaN,0
работа кладовщиком в верхней пышме,NaN,кладовщик,NaN,NaN,0
работа кладовщиком в зеленограде,NaN,кладовщик,NaN,NaN,0
работа кладовщиком в климовске,NaN,кладовщик,NaN,NaN,0
работа кладовщиком в лазурном,NaN,кладовщик,NaN,NaN,0
работа кладовщиком в садовом,NaN,кладовщик,NaN,NaN,0
работа кладовщиком в скачках,NaN,кладовщик,NaN,NaN,0
работа кладовщиком метро киевская,NaN,кладовщик,NaN,NaN,0
работа кладовщиком метро ладожская,NaN,кладовщик,NaN,NaN,0
работа кладовщиком метро менделеевская,NaN,кладовщик,NaN,NaN,0
работа кладовщиком метро озерки,NaN,кладовщик,NaN,NaN,0
работа кладовщиком метро севастопальская,NaN,кладовщик,NaN,NaN,0
работа коллектором,NaN,специалист по взысканию задолженности / коллектор,NaN,NaN,0
работа коллектором вакансии,NaN,специалист по взысканию задолженности / коллектор,NaN,NaN,0
работа консьержа для пенсионеров,NaN,консьерж,['для пенсионеров'],NaN,0
работа копирайтера фриланс,NaN,копирайтер,NaN,NaN,0
работа корректором удаленно,['удаленная'],NaN,NaN,NaN,0
работа косметолога вакансии,NaN,косметолог,NaN,NaN,0
работа курьером в озоне в москве,NaN,курьер,NaN,NaN,0
работа курьером метро проспект победы,NaN,курьер,NaN,NaN,0
работа курьером метро студенческая,NaN,курьер,NaN,NaN,0
работа курьером на автомобиле работодателя,NaN,курьер,NaN,NaN,0
работа курьером на машине,NaN,курьер,NaN,NaN,0
работа лепщик пельменей,NaN,NaN,NaN,NaN,1
работа маляра вахта,['вахта'],маляр,NaN,NaN,0
работа массажиста в салоне красоты,NaN,массажист,NaN,NaN,0
работа массажиста свежие вакансии,NaN,массажист,NaN,NaN,0
работа массажистом в больницах,NaN,массажист,NaN,NaN,0
работа массажистом на море,NaN,массажист,NaN,NaN,0
работа мастер педикюра,NaN,NaN,NaN,NaN,1
работа мастер по ремонту кондиционеров,NaN,NaN,NaN,NaN,1
работа мастера электрика,NaN,автоэлектрик,NaN,NaN,0
работа мастером депиляции,NaN,NaN,NaN,NaN,1
работа мастером по ремонту холодильников,NaN,NaN,NaN,NaN,1
работа мастером шугаринга,NaN,NaN,NaN,NaN,1
работа медицинской сестры,NaN,"медсестра, медбрат",NaN,NaN,0
работа менеджер полиграфия,NaN,менеджер,NaN,NaN,0
работа мойка автомобилей,NaN,мойщик,NaN,NaN,0
работа монтажник входных дверей,NaN,монтажник,NaN,NaN,0
работа монтажник пластиковых окон,NaN,монтажник,NaN,NaN,0
работа монтажник систем вентиляции вахтовым методом,NaN,монтажник,NaN,NaN,0
работа монтажник систем вентиляции и кондиционирования,NaN,монтажник,NaN,NaN,0
работа монтажника отопление,NaN,монтажник,NaN,NaN,0
работа монтажником дверей,NaN,монтажник,NaN,NaN,0
работа монтажником кондиционеров вентиляции,NaN,монтажник,NaN,NaN,0
работа монтажником окон,NaN,монтажник,NaN,NaN,0
работа монтажником окон пвх вахта,['вахта'],монтажник,NaN,NaN,0
работа монтажником потолков,NaN,монтажник,NaN,NaN,0
работа монтажником фасада,NaN,монтажник,NaN,NaN,0
работа монтером пути,NaN,NaN,NaN,NaN,1
работа н дому вакансии,NaN,сантехник,NaN,NaN,0
работа на автомобиле,NaN,NaN,NaN,NaN,1
работа на баме,NaN,NaN,NaN,NaN,1
работа на дому копирайтер наборщик,['на дому'],копирайтер,NaN,NaN,0
работа на дому руками,['на дому'],NaN,NaN,NaN,0
работа на каре без опыта,NaN,NaN,['без опыта'],NaN,0
работа на легковом авто,NaN,NaN,NaN,NaN,1
работа на личном автомобиле,NaN,NaN,NaN,NaN,1
работа на личном легковом автомобиле,NaN,NaN,NaN,NaN,1
работа на ночь с ежедневной оплатой,NaN,NaN,NaN,с ежедневной оплатой,0
работа на озон солнечногорск,NaN,NaN,NaN,NaN,1
работа на ржд вакансии для женщин,NaN,NaN,['для женщин'],NaN,0
работа на своем авто легковом на дальние расстояния,NaN,NaN,NaN,NaN,1
работа на своем автобусе,NaN,NaN,NaN,NaN,1
работа на своем легковом авто,NaN,NaN,NaN,NaN,1
работа на связи,NaN,NaN,NaN,NaN,1
работа на севере,NaN,NaN,NaN,NaN,1
работа на сегодня грузчик разнорабочий,NaN,грузчик,NaN,NaN,0
работа на складе ozon,NaN,NaN,NaN,NaN,1
работа на складе для мужчин,NaN,NaN,['для мужчин'],NaN,0
работа на складе кладовщик,NaN,кладовщик,NaN,NaN,0
работа неофициальное трудоустройство,NaN,NaN,NaN,NaN,1
работа ночью с ежедневной оплатой,NaN,NaN,NaN,с ежедневной оплатой,0
работа оператором склада в брюховецкой,NaN,модератор,NaN,NaN,0
работа оператором склада в ворошиловском,NaN,модератор,NaN,NaN,0
работа оператором склада в городище,NaN,модератор,NaN,NaN,0
работа оператором склада в знаменском,NaN,модератор,NaN,NaN,0
работа оператором склада в зубово,NaN,модератор,NaN,NaN,0
работа оператором склада в лазурном,NaN,модератор,NaN,NaN,0
работа оператором склада в новом девяткино,NaN,модератор,NaN,NaN,0
работа оператором склада в песчанных ковалях,NaN,модератор,NaN,NaN,0
работа оператором склада в северном,NaN,модератор,NaN,NaN,0
работа оператором склада в сестрорецке,NaN,модератор,NaN,NaN,0
работа оператором склада в чкаловском,NaN,модератор,NaN,NaN,0
работа оператором склада метро бабушкинская,NaN,модератор,NaN,NaN,0
работа оператором склада метро кантемировская,NaN,модератор,NaN,NaN,0
работа отделочник с проживанием,NaN,отделочник,NaN,с проживанием,0
работа отделочника оплата ежедневно,NaN,отделочник,NaN,с ежедневной оплатой,0
работа отделочником штукатуром,NaN,отделочник,NaN,NaN,0
работа официально маляр,NaN,маляр,NaN,NaN,0
работа парикмахера вахтовым методом,NaN,парикмахер,NaN,NaN,0
работа перетяжка мебели,NaN,NaN,NaN,NaN,1
работа печатник офсетной печати,NaN,печатник,NaN,NaN,0
работа плиточником облицовщиком,NaN,плиточник,NaN,NaN,0
работа по взысканию задолженности,NaN,специалист по взысканию задолженности / коллектор,NaN,NaN,0
работа по гидроизоляции вакансии,NaN,NaN,NaN,NaN,1
работа по электрике от прямых работодателей,NaN,электрик,NaN,NaN,0
работа поваром в гостинице,NaN,пивовар,NaN,NaN,0
работа поваром в столовой вакансии,NaN,пивовар,NaN,NaN,0
работа поваром свежие вакансии,NaN,пивовар,NaN,NaN,0
работа подработка на авто,['подработка'],NaN,NaN,NaN,0
работа подсобники разнорабочие,NaN,рабочий,NaN,NaN,0
работа поклейка обоев,NaN,оклейщик,NaN,NaN,0
работа помощник оценщика,NaN,помощник,NaN,NaN,0
работа помощник оценщика без опыта,NaN,помощник,['без опыта'],NaN,0
работа помощник сборщика мебели без опыта,NaN,помощник,['без опыта'],NaN,0
работа помощником бурильщика вахтовым,NaN,помощник,NaN,NaN,0
работа проводником в ржд вакансии без опыта,NaN,бортпроводник,['без опыта'],NaN,0
работа раздача листовок с ежедневной оплатой,NaN,NaN,NaN,с ежедневной оплатой,0
работа разнорабочим временно,NaN,рабочий,NaN,NaN,0
работа разнорабочим свежие вакансии,NaN,рабочий,NaN,NaN,0
работа ремонт компьютеров с обучением,NaN,NaN,NaN,NaN,1
работа ремонт стиральных машин вакансии,NaN,NaN,NaN,NaN,1
работа ремонт телефонов,NaN,NaN,NaN,NaN,1
работа ремонт телефонов с обучением,NaN,NaN,NaN,NaN,1
работа ремонт электрооборудования,NaN,NaN,NaN,NaN,1
работа рерайтером на дому вакансии,['на дому'],NaN,NaN,NaN,0
работа ретушером удаленно,['удаленная'],NaN,NaN,NaN,0
работа с денежной наличностью,NaN,NaN,NaN,NaN,1
работа с тендерами вакансии,NaN,тренер,NaN,NaN,0
работа сборщиком мебели вакансии,NaN,сборщик,NaN,NaN,0
работа сварщик 3 разряда вахта,['вахта'],сварщик,NaN,NaN,0
работа сварщик аргонщик,NaN,сварщик,NaN,NaN,0
работа сварщик монтажник,NaN,сварщик,NaN,NaN,0
работа сварщикам трубопроводов,NaN,сварщик,NaN,NaN,0
работа сварщиком 2 2,NaN,сварщик,NaN,NaN,0
работа сварщиком 4 разряда вахтовым методом,NaN,сварщик,NaN,NaN,0
работа сварщиком 5 разряда вахта,['вахта'],сварщик,NaN,NaN,0
работа сварщиком монтажником вахтовым методом,NaN,сварщик,NaN,NaN,0
работа сварщиком монтажником металлоконструкций,NaN,сварщик,NaN,NaN,0
работа сварщиком посменно,NaN,сварщик,NaN,NaN,0
работа сварщиком свежие вакансии,NaN,сварщик,NaN,NaN,0
работа свежие вакансии штукатур маляр,NaN,штукатур,NaN,NaN,0
работа слесарем по ремонту газового оборудования,NaN,слесарь,NaN,NaN,0
работа слесарем по ремонту оборудования,NaN,слесарь,NaN,NaN,0
